MiB,delay,tcp_size,parallel_buffer,N,run,seconds
35,0,default,4,1,1,0.230183124542
35,0,default,4,1,2,0.236685991287
35,0,default,4,1,3,0.207283973694
35,0,default,4,2,1,0.176457881927
35,0,default,4,2,2,0.188398838043
35,0,default,4,2,3,0.159982919693
35,0,default,4,3,1,0.168509960175
35,0,default,4,3,2,0.198291778564
35,0,default,4,3,3,0.16765499115
35,0,default,4,4,1,0.177976131439
35,0,default,4,4,2,0.173428058624
35,0,default,4,4,3,0.174220085144
35,0,default,4,8,1,0.187700986862
35,0,default,4,8,2,0.189989089966
35,0,default,4,8,3,0.181861877441
35,0,default,4,16,1,0.192274093628
35,0,default,4,16,2,0.182852983475
35,0,default,4,16,3,0.188549041748
35,0,default,50,1,1,0.208581924438
35,0,default,50,1,2,0.202533960342
35,0,default,50,1,3,0.208323955536
35,0,default,50,2,1,0.186340093613
35,0,default,50,2,2,0.178027153015
35,0,default,50,2,3,0.180683851242
35,0,default,50,3,1,0.176409959793
35,0,default,50,3,2,0.195625066757
35,0,default,50,3,3,0.210942983627
35,0,default,50,4,1,0.198385000229
35,0,default,50,4,2,0.195477962494
35,0,default,50,4,3,0.195171117783
35,0,default,50,8,1,0.192826032639
35,0,default,50,8,2,0.1906042099
35,0,default,50,8,3,0.199518918991
35,0,default,50,16,1,0.185003995895
35,0,default,50,16,2,0.191138982773
35,0,default,50,16,3,0.183176994324
35,0,default,100,1,1,0.242441892624
35,0,default,100,1,2,0.220144033432
35,0,default,100,1,3,0.220900058746
35,0,default,100,2,1,0.196835041046
35,0,default,100,2,2,0.212111234665
35,0,default,100,2,3,0.207080841064
35,0,default,100,3,1,0.216300964355
35,0,default,100,3,2,0.199307918549
35,0,default,100,3,3,0.191757917404
35,0,default,100,4,1,0.197221040726
35,0,default,100,4,2,0.19331407547
35,0,default,100,4,3,0.192198991776
35,0,default,100,8,1,0.189568996429
35,0,default,100,8,2,0.177489042282
35,0,default,100,8,3,0.187269926071
35,0,default,100,16,1,0.191792964935
35,0,default,100,16,2,0.1870200634
35,0,default,100,16,3,0.194807052612
35,0,big,4,1,1,0.232306957245
35,0,big,4,1,2,0.22936296463
35,0,big,4,1,3,0.234388828278
35,0,big,4,2,1,0.20049405098
35,0,big,4,2,2,0.218569040298
35,0,big,4,2,3,0.206074953079
35,0,big,4,3,1,0.212407112122
35,0,big,4,3,2,0.19813990593
35,0,big,4,3,3,0.196130990982
35,0,big,4,4,1,0.197838068008
35,0,big,4,4,2,0.182240962982
35,0,big,4,4,3,0.186555147171
35,0,big,4,8,1,0.192487001419
35,0,big,4,8,2,0.184518814087
35,0,big,4,8,3,0.180124998093
35,0,big,4,16,1,0.157194137573
35,0,big,4,16,2,0.165901899338
35,0,big,4,16,3,0.186467885971
35,0,big,50,1,1,0.240807056427
35,0,big,50,1,2,0.235440015793
35,0,big,50,1,3,0.222621917725
35,0,big,50,2,1,0.207450866699
35,0,big,50,2,2,0.214616060257
35,0,big,50,2,3,0.214318990707
35,0,big,50,3,1,0.210438013077
35,0,big,50,3,2,0.217203140259
35,0,big,50,3,3,0.21737408638
35,0,big,50,4,1,0.198445081711
35,0,big,50,4,2,0.209308862686
35,0,big,50,4,3,0.192281961441
35,0,big,50,8,1,0.184027910233
35,0,big,50,8,2,0.160377025604
35,0,big,50,8,3,0.186007976532
35,0,big,50,16,1,0.194779872894
35,0,big,50,16,2,0.186865091324
35,0,big,50,16,3,0.174049854279
35,0,big,100,1,1,0.240059137344
35,0,big,100,1,2,0.235375881195
35,0,big,100,1,3,0.237373113632
35,0,big,100,2,1,0.222732067108
35,0,big,100,2,2,0.198202133179
35,0,big,100,2,3,0.191756010056
35,0,big,100,3,1,0.206647157669
35,0,big,100,3,2,0.197376966476
35,0,big,100,3,3,0.199219942093
35,0,big,100,4,1,0.19242811203
35,0,big,100,4,2,0.200533866882
35,0,big,100,4,3,0.194103956223
35,0,big,100,8,1,0.201700925827
35,0,big,100,8,2,0.187078952789
35,0,big,100,8,3,0.185611963272
35,0,big,100,16,1,0.183652877808
35,0,big,100,16,2,0.199292898178
35,0,big,100,16,3,0.178921937943
35,50,default,4,1,1,11.4319288731
35,50,default,4,1,2,11.3790709972
35,50,default,4,1,3,11.3823590279
35,50,default,4,2,1,6.11241102219
35,50,default,4,2,2,6.11453509331
35,50,default,4,2,3,6.11819314957
35,50,default,4,3,1,4.44613003731
35,50,default,4,3,2,4.44746398926
35,50,default,4,3,3,4.40364217758
35,50,default,4,4,1,3.63154792786
35,50,default,4,4,2,3.63683485985
35,50,default,4,4,3,3.63455605507
35,50,default,4,8,1,2.5320110321
