MiB,delay,tcp_size,parallel_buffer,N,run,seconds
1024,0,default,4,1,1,1.81576013565
1024,0,default,4,1,2,1.83963990211
1024,0,default,4,1,3,1.83181190491
1024,0,default,4,2,1,1.16886305809
1024,0,default,4,2,2,1.08597302437
1024,0,default,4,2,3,1.09853506088
1024,0,default,4,3,1,1.07888197899
1024,0,default,4,3,2,1.09129309654
1024,0,default,4,3,3,1.08099794388
1024,0,default,4,4,1,1.08311009407
1024,0,default,4,4,2,1.08809709549
1024,0,default,4,4,3,1.08394289017
1024,0,default,4,8,1,1.07687020302
1024,0,default,4,8,2,1.07529592514
1024,0,default,4,8,3,1.08225703239
1024,0,default,4,16,1,1.04188013077
1024,0,default,4,16,2,1.07778215408
1024,0,default,4,16,3,1.06769585609
1024,0,default,50,1,1,2.11474108696
1024,0,default,50,1,2,2.00766921043
1024,0,default,50,1,3,2.00341296196
1024,0,default,50,2,1,1.28165197372
1024,0,default,50,2,2,1.23897314072
1024,0,default,50,2,3,1.2629609108
1024,0,default,50,3,1,1.14722204208
1024,0,default,50,3,2,1.1406750679
1024,0,default,50,3,3,1.07964491844
1024,0,default,50,4,1,1.11801815033
1024,0,default,50,4,2,1.12592601776
1024,0,default,50,4,3,1.15903711319
1024,0,default,50,8,1,1.08837389946
1024,0,default,50,8,2,1.08730006218
1024,0,default,50,8,3,1.10689306259
1024,0,default,50,16,1,1.09961605072
1024,0,default,50,16,2,1.06277513504
1024,0,default,50,16,3,1.11351299286
1024,0,default,100,1,1,2.08430099487
1024,0,default,100,1,2,2.17256116867
1024,0,default,100,1,3,2.1760559082
1024,0,default,100,2,1,1.27473282814
1024,0,default,100,2,2,1.1811850071
1024,0,default,100,2,3,1.21693515778
1024,0,default,100,3,1,1.16785693169
1024,0,default,100,3,2,1.15941786766
1024,0,default,100,3,3,1.15590190887
1024,0,default,100,4,1,1.13197493553
1024,0,default,100,4,2,1.1209359169
1024,0,default,100,4,3,1.10488915443
1024,0,default,100,8,1,1.10272812843
1024,0,default,100,8,2,1.05799818039
1024,0,default,100,8,3,1.10958194733
1024,0,default,100,16,1,1.07904720306
1024,0,default,100,16,2,1.11152100563
1024,0,default,100,16,3,1.07325100899
1024,0,big,4,1,1,1.79393100739
1024,0,big,4,1,2,1.8071000576
1024,0,big,4,1,3,1.78767800331
1024,0,big,4,2,1,1.10896515846
1024,0,big,4,2,2,1.11040687561
1024,0,big,4,2,3,1.11324596405
1024,0,big,4,3,1,1.0894241333
1024,0,big,4,3,2,1.03449583054
1024,0,big,4,3,3,1.09021615982
1024,0,big,4,4,1,1.08631205559
1024,0,big,4,4,2,1.08434987068
1024,0,big,4,4,3,1.07725310326
1024,0,big,4,8,1,1.05387187004
1024,0,big,4,8,2,1.06832408905
1024,0,big,4,8,3,1.08324694633
