MiB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,10,big,100,8,3,12.5397789478
10240,10,big,100,8,4,12.2548930645
10240,10,big,100,8,5,12.7359521389
10240,10,big,100,8,6,14.0524749756
10240,10,big,100,8,7,10.8371188641
10240,10,big,100,8,8,13.8020119667
10240,10,big,100,8,9,18.0565481186
10240,10,big,100,16,1,12.3274328709
10240,10,big,100,16,2,13.9639310837
10240,10,big,100,16,3,11.4386360645
10240,10,big,100,16,4,13.4708991051
10240,10,big,100,16,5,13.6575210094
10240,10,big,100,16,6,12.8595089912
10240,10,big,100,16,7,14.6303641796
10240,10,big,100,16,8,12.1530930996
10240,10,big,100,16,9,13.3507471085
10240,20,big,100,1,1,24.8489158154
10240,20,big,100,1,2,24.8443689346
10240,20,big,100,1,3,24.1797640324
10240,20,big,100,1,4,24.8795590401
10240,20,big,100,1,5,22.9809138775
10240,20,big,100,1,6,23.2030570507
10240,20,big,100,1,7,24.8944208622
10240,20,big,100,1,8,23.1597681046
10240,20,big,100,1,9,24.5753929615
10240,20,big,100,2,1,12.1671879292
10240,20,big,100,2,2,13.6573131084
10240,20,big,100,2,3,11.9315400124
10240,20,big,100,2,4,13.2903690338
10240,20,big,100,2,5,21.3344268799
10240,20,big,100,2,6,12.1059610844
10240,20,big,100,2,7,12.2014520168
10240,20,big,100,2,8,12.1871509552
10240,20,big,100,2,9,12.7493798733
10240,20,big,100,3,1,9.78769493103
10240,20,big,100,3,2,9.92321801186
10240,20,big,100,3,3,9.85832619667
10240,20,big,100,3,4,9.91339802742
10240,20,big,100,3,5,9.91831898689
10240,20,big,100,3,6,10.3059351444
10240,20,big,100,3,7,9.85238599777
10240,20,big,100,3,8,10.1001579762
10240,20,big,100,3,9,9.80425095558
10240,20,big,100,4,1,10.915897131
10240,20,big,100,4,2,10.3757910728
10240,20,big,100,4,3,10.3943679333
10240,20,big,100,4,4,12.2691230774
10240,20,big,100,4,5,10.2992141247
10240,20,big,100,4,6,10.6269450188
10240,20,big,100,4,7,10.4949119091
10240,20,big,100,4,8,10.393581152
10240,20,big,100,4,9,9.93516802788
10240,20,big,100,8,1,25.0854899883
10240,20,big,100,8,2,12.0629918575
10240,20,big,100,8,3,15.7424511909
10240,20,big,100,8,4,21.1820201874
10240,20,big,100,8,5,20.7951760292
10240,20,big,100,8,6,13.2438910007
10240,20,big,100,8,7,12.5964438915
10240,20,big,100,8,8,19.571570158
10240,20,big,100,8,9,14.5615861416
10240,20,big,100,16,1,26.6888151169
10240,20,big,100,16,2,26.1904520988
10240,20,big,100,16,3,27.3100149632
10240,20,big,100,16,4,25.7186570168
10240,20,big,100,16,5,21.6140179634
10240,20,big,100,16,6,28.8476829529
10240,20,big,100,16,7,26.3997781277
10240,20,big,100,16,8,25.9891321659
10240,20,big,100,16,9,26.7020030022
10240,30,big,100,1,1,24.4972319603
10240,30,big,100,1,2,24.8865869045
10240,30,big,100,1,3,24.5343391895
10240,30,big,100,1,4,24.5814669132
10240,30,big,100,1,5,24.535066843
10240,30,big,100,1,6,24.5533561707
10240,30,big,100,1,7,24.5651960373
10240,30,big,100,1,8,24.649987936
10240,30,big,100,1,9,24.6276938915
10240,30,big,100,2,1,15.6330318451
10240,30,big,100,2,2,14.5699989796
10240,30,big,100,2,3,14.0113601685
10240,30,big,100,2,4,13.8729290962
10240,30,big,100,2,5,14.0356590748
10240,30,big,100,2,6,14.7567930222
10240,30,big,100,2,7,15.7357270718
10240,30,big,100,2,8,14.6731028557
10240,30,big,100,2,9,15.9964029789
10240,30,big,100,3,1,11.276570797
10240,30,big,100,3,2,19.5081539154
10240,30,big,100,3,3,12.9883270264
10240,30,big,100,3,4,11.4655721188
10240,30,big,100,3,5,10.7754790783
10240,30,big,100,3,6,13.7070920467
10240,30,big,100,3,7,13.3079829216
10240,30,big,100,3,8,11.7060518265
10240,30,big,100,3,9,11.6925549507
10240,30,big,100,4,1,13.8496849537
10240,30,big,100,4,2,11.0130901337
10240,30,big,100,4,3,13.3479881287
10240,30,big,100,4,4,12.4712581635
10240,30,big,100,4,5,16.5857970715
10240,30,big,100,4,6,14.9463338852
10240,30,big,100,4,7,13.3252420425
10240,30,big,100,4,8,10.7721378803
10240,30,big,100,4,9,15.8831000328
10240,30,big,100,8,1,18.672025919
10240,30,big,100,8,2,28.8283159733
10240,30,big,100,8,3,28.9645011425
10240,30,big,100,8,4,32.8415970802
10240,30,big,100,8,5,28.9088010788
10240,30,big,100,8,6,30.8697319031
10240,30,big,100,8,7,31.758234024
10240,30,big,100,8,8,40.8593111038
10240,30,big,100,8,9,22.0623939037
10240,30,big,100,16,1,24.9651510715
10240,30,big,100,16,2,33.9678618908
10240,30,big,100,16,3,31.4588060379
10240,30,big,100,16,4,30.0290288925
10240,30,big,100,16,5,27.3758921623
10240,30,big,100,16,6,23.6224491596
10240,30,big,100,16,7,31.3709340096
10240,30,big,100,16,8,26.8144328594
10240,30,big,100,16,9,34.6019871235
10240,40,big,100,1,1,26.0103309155
10240,40,big,100,1,2,25.9939260483
10240,40,big,100,1,3,25.8896489143
10240,40,big,100,1,4,26.0673091412
10240,40,big,100,1,5,26.0470700264
10240,40,big,100,1,6,26.0160441399
10240,40,big,100,1,7,26.0166208744
10240,40,big,100,1,8,26.0748429298
10240,40,big,100,1,9,26.0993571281
10240,40,big,100,2,1,15.690882206
10240,40,big,100,2,2,15.966976881
10240,40,big,100,2,3,17.5755629539
10240,40,big,100,2,4,15.234279871
10240,40,big,100,2,5,16.6228179932
10240,40,big,100,2,6,18.8518211842
10240,40,big,100,2,7,16.0350260735
10240,40,big,100,2,8,15.6381149292
10240,40,big,100,2,9,17.2948050499
10240,40,big,100,3,1,14.9736380577
10240,40,big,100,3,2,14.7698659897
10240,40,big,100,3,3,20.0179111958
10240,40,big,100,3,4,13.9054501057
10240,40,big,100,3,5,17.9463148117
10240,40,big,100,3,6,15.0291538239
10240,40,big,100,3,7,13.0127599239
10240,40,big,100,3,8,20.0104799271
10240,40,big,100,3,9,21.3130009174
10240,40,big,100,4,1,21.4668159485
10240,40,big,100,4,2,14.8653790951
10240,40,big,100,4,3,17.099157095
10240,40,big,100,4,4,11.0963799953
10240,40,big,100,4,5,19.6512491703
10240,40,big,100,4,6,20.2415750027
10240,40,big,100,4,7,27.4907369614
10240,40,big,100,4,8,21.0174069405
10240,40,big,100,4,9,15.460613966
10240,40,big,100,8,1,24.9900958538
10240,40,big,100,8,2,41.4581961632
10240,40,big,100,8,3,33.9405720234
10240,40,big,100,8,4,53.2798497677
10240,40,big,100,8,5,13.9728758335
10240,40,big,100,8,6,26.2740969658
10240,40,big,100,8,7,33.1163921356
10240,40,big,100,8,8,25.9270009995
10240,40,big,100,8,9,28.7605340481
10240,40,big,100,16,1,27.6639070511
10240,40,big,100,16,2,32.1886568069
10240,40,big,100,16,3,25.9264609814
10240,40,big,100,16,4,33.2090001106
10240,40,big,100,16,5,37.1796441078
10240,40,big,100,16,6,32.5808298588
10240,40,big,100,16,7,37.8272259235
10240,40,big,100,16,8,35.9155490398
10240,40,big,100,16,9,34.5394020081
10240,50,big,100,1,1,27.2359519005
10240,50,big,100,1,2,27.1215691566
10240,50,big,100,1,3,27.2950661182
10240,50,big,100,1,4,27.1759271622
10240,50,big,100,1,5,27.2581629753
10240,50,big,100,1,6,27.3573749065
10240,50,big,100,1,7,27.2165210247
10240,50,big,100,1,8,27.0923559666
10240,50,big,100,1,9,27.1261661053
10240,50,big,100,2,1,19.4080748558
10240,50,big,100,2,2,22.5505959988
10240,50,big,100,2,3,19.3668651581
10240,50,big,100,2,4,18.936259985
10240,50,big,100,2,5,19.2229039669
10240,50,big,100,2,6,18.6818990707
10240,50,big,100,2,7,20.068087101
10240,50,big,100,2,8,19.0547149181
10240,50,big,100,2,9,19.2848439217
10240,50,big,100,3,1,20.483891964
10240,50,big,100,3,2,17.5677108765
10240,50,big,100,3,3,17.7594070435
10240,50,big,100,3,4,17.4204719067
10240,50,big,100,3,5,14.1112668514
10240,50,big,100,3,6,17.8164620399
10240,50,big,100,3,7,19.3699409962
10240,50,big,100,3,8,22.5883960724
10240,50,big,100,3,9,26.665309906
10240,50,big,100,4,1,23.6435730457
10240,50,big,100,4,2,25.5165278912
10240,50,big,100,4,3,19.5785470009
10240,50,big,100,4,4,28.8185250759
10240,50,big,100,4,5,30.8640120029
10240,50,big,100,4,6,23.2131268978
10240,50,big,100,4,7,16.3097710609
10240,50,big,100,4,8,20.2456450462
10240,50,big,100,4,9,31.7062001228
10240,50,big,100,8,1,39.3751709461
10240,50,big,100,8,2,31.1869089603
10240,50,big,100,8,3,48.0925168991
10240,50,big,100,8,4,29.3528370857
10240,50,big,100,8,5,35.2174339294
10240,50,big,100,8,6,38.1538841724
10240,50,big,100,8,7,31.7106320858
10240,50,big,100,8,8,24.7079679966
10240,50,big,100,8,9,35.6436519623
10240,50,big,100,16,1,39.8341140747
10240,50,big,100,16,2,34.3854448795
10240,50,big,100,16,3,34.7554161549
10240,50,big,100,16,4,34.3787810802
10240,50,big,100,16,5,39.2455000877
10240,50,big,100,16,6,35.7416570187
10240,50,big,100,16,7,34.7219760418
10240,50,big,100,16,8,32.3951928616
10240,50,big,100,16,9,34.403553009
10240,60,big,100,1,1,29.9566099644
10240,60,big,100,1,2,31.2336740494
10240,60,big,100,1,3,29.7187321186
10240,60,big,100,1,4,30.304484129
10240,60,big,100,1,5,29.8511679173
10240,60,big,100,1,6,29.7585000992
10240,60,big,100,1,7,30.1385908127
10240,60,big,100,1,8,29.8874418736
10240,60,big,100,1,9,29.6949329376
10240,60,big,100,2,1,22.8678748608
10240,60,big,100,2,2,21.1248209476
10240,60,big,100,2,3,21.6903350353
10240,60,big,100,2,4,22.8123919964
10240,60,big,100,2,5,22.9403240681
10240,60,big,100,2,6,22.5035209656
10240,60,big,100,2,7,21.7659239769
10240,60,big,100,2,8,22.232489109
10240,60,big,100,2,9,21.5514011383
10240,60,big,100,3,1,19.9070420265
10240,60,big,100,3,2,18.7907621861
10240,60,big,100,3,3,20.3518509865
10240,60,big,100,3,4,15.9868731499
10240,60,big,100,3,5,20.1850471497
10240,60,big,100,3,6,26.442032814
10240,60,big,100,3,7,18.0177679062
10240,60,big,100,3,8,20.4592998028
10240,60,big,100,3,9,16.2158269882
10240,60,big,100,4,1,20.1028997898
10240,60,big,100,4,2,28.1687450409
10240,60,big,100,4,3,15.7245590687
10240,60,big,100,4,4,18.7337300777
10240,60,big,100,4,5,37.8619580269
10240,60,big,100,4,6,18.124669075
10240,60,big,100,4,7,43.5765488148
10240,60,big,100,4,8,30.5220630169
10240,60,big,100,4,9,30.3387830257
10240,60,big,100,8,1,36.5664870739
10240,60,big,100,8,2,34.9921939373
10240,60,big,100,8,3,44.6371979713
10240,60,big,100,8,4,44.762761116
10240,60,big,100,8,5,36.3044219017
10240,60,big,100,8,6,42.4002799988
10240,60,big,100,8,7,44.1478440762
10240,60,big,100,8,8,43.1517131329
10240,60,big,100,8,9,49.2684240341
10240,60,big,100,16,1,39.7353720665
10240,60,big,100,16,2,30.3971869946
10240,60,big,100,16,3,37.8466980457
10240,60,big,100,16,4,37.2016408443
10240,60,big,100,16,5,35.6810228825
10240,60,big,100,16,6,37.9669389725
10240,60,big,100,16,7,35.4013280869
10240,60,big,100,16,8,34.9873111248
10240,60,big,100,16,9,40.6729948521
10240,70,big,100,1,1,33.9359769821
10240,70,big,100,1,2,34.4877460003
10240,70,big,100,1,3,34.1917281151
10240,70,big,100,1,4,34.3914589882
10240,70,big,100,1,5,34.2746539116
10240,70,big,100,1,6,34.2199618816
10240,70,big,100,1,7,34.0718488693
10240,70,big,100,1,8,34.127163887
10240,70,big,100,1,9,34.2371771336
10240,70,big,100,2,1,24.1461081505
10240,70,big,100,2,2,24.4657058716
10240,70,big,100,2,3,24.3828480244
10240,70,big,100,2,4,24.2002289295
10240,70,big,100,2,5,25.3386940956
10240,70,big,100,2,6,24.5582821369
10240,70,big,100,2,7,23.7791190147
10240,70,big,100,2,8,25.1310589314
10240,70,big,100,2,9,24.3199298382
10240,70,big,100,3,1,22.9698798656
10240,70,big,100,3,2,25.4498748779
10240,70,big,100,3,3,30.027575016
10240,70,big,100,3,4,23.2849228382
10240,70,big,100,3,5,17.3683669567
10240,70,big,100,3,6,31.8947970867
10240,70,big,100,3,7,29.0090930462
10240,70,big,100,3,8,18.6698300838
10240,70,big,100,3,9,17.3883209229
10240,70,big,100,4,1,29.1264939308
10240,70,big,100,4,2,23.3702571392
10240,70,big,100,4,3,17.706346035
10240,70,big,100,4,4,21.4458739758
10240,70,big,100,4,5,20.8462178707
10240,70,big,100,4,6,14.3520240784
10240,70,big,100,4,7,24.2020001411
10240,70,big,100,4,8,30.2385959625
10240,70,big,100,4,9,28.6977779865
10240,70,big,100,8,1,41.2179460526
10240,70,big,100,8,2,36.8287298679
10240,70,big,100,8,3,45.9384222031
10240,70,big,100,8,4,39.0070178509
10240,70,big,100,8,5,37.8308949471
10240,70,big,100,8,6,45.7120039463
10240,70,big,100,8,7,44.0134091377
10240,70,big,100,8,8,37.0718472004
10240,70,big,100,8,9,43.3469521999
10240,70,big,100,16,1,39.9053308964
10240,70,big,100,16,2,35.2871630192
10240,70,big,100,16,3,43.2343270779
10240,70,big,100,16,4,38.6271481514
10240,70,big,100,16,5,38.909334898
10240,70,big,100,16,6,37.4456820488
10240,70,big,100,16,7,40.7881288528
10240,70,big,100,16,8,41.2433218956
10240,70,big,100,16,9,42.6126739979
10240,80,big,100,1,1,37.2765359879
10240,80,big,100,1,2,37.6665518284
10240,80,big,100,1,3,37.8761501312
10240,80,big,100,1,4,37.8407139778
10240,80,big,100,1,5,37.7931418419
10240,80,big,100,1,6,37.3591060638
10240,80,big,100,1,7,37.682215929
10240,80,big,100,1,8,37.8117101192
10240,80,big,100,1,9,37.7803180218
10240,80,big,100,2,1,27.8571171761
10240,80,big,100,2,2,27.5659930706
10240,80,big,100,2,3,27.5022861958
10240,80,big,100,2,4,28.0366380215
10240,80,big,100,2,5,27.3956930637
10240,80,big,100,2,6,28.3523318768
10240,80,big,100,2,7,27.1661641598
10240,80,big,100,2,8,27.9757778645
10240,80,big,100,2,9,28.1756219864
10240,80,big,100,3,1,30.0755028725
10240,80,big,100,3,2,43.6949560642
10240,80,big,100,3,3,25.4058511257
10240,80,big,100,3,4,24.8373589516
10240,80,big,100,3,5,19.8302199841
10240,80,big,100,3,6,30.3928470612
10240,80,big,100,3,7,19.910957098
10240,80,big,100,3,8,20.6141331196
10240,80,big,100,3,9,27.760835886
10240,80,big,100,4,1,24.8077991009
10240,80,big,100,4,2,26.8524279594
10240,80,big,100,4,3,38.5236449242
10240,80,big,100,4,4,35.6022260189
10240,80,big,100,4,5,37.8741278648
10240,80,big,100,4,6,24.4942250252
10240,80,big,100,4,7,31.2128608227
10240,80,big,100,4,8,29.4862639904
10240,80,big,100,4,9,25.3092689514
10240,80,big,100,8,1,41.4328329563
10240,80,big,100,8,2,50.161397934
10240,80,big,100,8,3,46.7783541679
10240,80,big,100,8,4,40.7140960693
10240,80,big,100,8,5,45.7064099312
10240,80,big,100,8,6,40.1233038902
10240,80,big,100,8,7,41.8330039978
10240,80,big,100,8,8,52.1195590496
10240,80,big,100,8,9,41.3544499874
10240,80,big,100,16,1,39.751210928
10240,80,big,100,16,2,43.766261816
10240,80,big,100,16,3,42.1936221123
10240,80,big,100,16,4,41.1784100533
10240,80,big,100,16,5,39.5094499588
10240,80,big,100,16,6,39.399616003
10240,80,big,100,16,7,45.6001558304
10240,80,big,100,16,8,40.5385410786
10240,80,big,100,16,9,38.9955370426
10240,90,big,100,1,1,40.5706028938
10240,90,big,100,1,2,40.748071909
10240,90,big,100,1,3,40.8267359734
10240,90,big,100,1,4,40.5838999748
10240,90,big,100,1,5,41.0538311005
10240,90,big,100,1,6,40.8033878803
10240,90,big,100,1,7,40.665117979
