MB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,0,big,25,3,3,9.75626206398
10240,0,big,25,3,4,9.59948992729
10240,0,big,25,3,5,9.52393603325
10240,0,big,25,3,6,9.9583439827
10240,0,big,25,3,7,9.43953084946
10240,0,big,25,3,8,9.75843691826
10240,0,big,25,3,9,9.82537913322
10240,0,big,50,3,1,9.83199000359
10240,0,big,50,3,2,9.85278987885
10240,0,big,50,3,3,10.5299289227
10240,0,big,50,3,4,9.91207814217
10240,0,big,50,3,5,9.93180894852
10240,0,big,50,3,6,9.45538806915
10240,0,big,50,3,7,9.78566002846
10240,0,big,50,3,8,9.71040487289
10240,0,big,50,3,9,9.91697001457
10240,0,big,75,3,1,10.0789191723
10240,0,big,75,3,2,9.97020506859
10240,0,big,75,3,3,9.85291814804
10240,0,big,75,3,4,9.98977303505
10240,0,big,75,3,5,9.98181414604
10240,0,big,75,3,6,9.88670492172
10240,0,big,75,3,7,10.0773870945
10240,0,big,75,3,8,9.63950610161
10240,0,big,75,3,9,10.6208148003
10240,0,big,100,3,1,9.96795010567
10240,0,big,100,3,2,10.5822861195
10240,0,big,100,3,3,10.3956210613
10240,0,big,100,3,4,10.1090779305
10240,0,big,100,3,5,9.88014507294
10240,0,big,100,3,6,10.1151528358
10240,0,big,100,3,7,10.0062429905
10240,0,big,100,3,8,9.70501995087
10240,0,big,100,3,9,10.4217340946
10240,0,big,200,3,1,10.028044939
10240,0,big,200,3,2,10.0866701603
10240,0,big,200,3,3,10.0213549137
10240,0,big,200,3,4,9.88850021362
10240,0,big,200,3,5,9.8315410614
10240,0,big,200,3,6,10.0946938992
10240,0,big,200,3,7,9.95903396606
10240,0,big,200,3,8,9.91408205032
10240,0,big,200,3,9,10.193158865
10240,0,big,400,3,1,10.1205430031
10240,0,big,400,3,2,10.1669800282
10240,0,big,400,3,3,10.8100619316
10240,0,big,400,3,4,10.228618145
10240,0,big,400,3,5,10.0509769917
10240,0,big,400,3,6,9.79329800606
10240,0,big,400,3,7,10.5689878464
10240,0,big,400,3,8,9.98429012299
10240,0,big,400,3,9,9.80841517448
10240,10,big,4,3,1,9.52848291397
10240,10,big,4,3,2,9.72573709488
10240,10,big,4,3,3,9.53431415558
10240,10,big,4,3,4,9.49892807007
10240,10,big,4,3,5,9.60994315147
10240,10,big,4,3,6,9.53354287148
10240,10,big,4,3,7,9.58999300003
10240,10,big,4,3,8,9.50686788559
10240,10,big,4,3,9,9.62742090225
10240,10,big,10,3,1,9.55238699913
10240,10,big,10,3,2,12.7888379097
10240,10,big,10,3,3,9.57753682137
10240,10,big,10,3,4,9.57893204689
10240,10,big,10,3,5,9.51359605789
10240,10,big,10,3,6,9.574832201
10240,10,big,10,3,7,9.55378222466
10240,10,big,10,3,8,9.55987405777
10240,10,big,10,3,9,9.53465390205
10240,10,big,25,3,1,9.70633387566
10240,10,big,25,3,2,9.79233908653
10240,10,big,25,3,3,9.52958703041
10240,10,big,25,3,4,9.52290391922
10240,10,big,25,3,5,9.66782283783
10240,10,big,25,3,6,11.5473189354
10240,10,big,25,3,7,9.54423594475
10240,10,big,25,3,8,9.82241106033
10240,10,big,25,3,9,10.7191090584
10240,10,big,50,3,1,9.65482497215
10240,10,big,50,3,2,9.57838201523
10240,10,big,50,3,3,9.63365483284
10240,10,big,50,3,4,9.55987691879
10240,10,big,50,3,5,9.54537081718
10240,10,big,50,3,6,11.0039191246
10240,10,big,50,3,7,9.7069299221
10240,10,big,50,3,8,9.57464599609
10240,10,big,50,3,9,9.60812401772
10240,10,big,75,3,1,9.60894417763
10240,10,big,75,3,2,9.64999699593
10240,10,big,75,3,3,9.61388421059
10240,10,big,75,3,4,9.55739092827
10240,10,big,75,3,5,9.59100103378
10240,10,big,75,3,6,9.62521982193
10240,10,big,75,3,7,9.73411798477
10240,10,big,75,3,8,9.59211301804
10240,10,big,75,3,9,10.2576761246
10240,10,big,100,3,1,9.54473400116
10240,10,big,100,3,2,9.72824406624
10240,10,big,100,3,3,10.2363119125
10240,10,big,100,3,4,9.60130405426
10240,10,big,100,3,5,9.55675005913
